What is the primary risk if a front desk staff member fails to deliver a wake-up call correctly?,"It can lead to significant guest inconvenience, such as missing flights or important meetings, resulting in guest dissatisfaction."
List three automated methods a guest can use to set their own wake-up call in a hotel.,"Guests can use their room telephone, the hotel's mobile application, or the in-room entertainment system (T.V.)."
What must the hotel provide to ensure guests can use automated wake-up call systems effectively?,"Proper instructions must be clearly displayed on the telephone, TV screen, or a tent card near the device."
"Even if a guest sets a wake-up call automatically, what is the mandatory follow-up action for the front desk staff?",The front desk or guest service staff should always give the guest a manual reminder call.
"When a guest manually requests a wake-up call, what five key details must be recorded in the log book?","Guest Name, Room Number, Wake-up date, Wake-up time, and any special requests (e.g., tea/coffee)."
What is the final step after taking down a manual wake-up call request before ending the conversation?,The staff member must repeat all the details back to the guest for re-confirmation.
"If a guest makes a special request with their wake-up call, such as tea or coffee, what is the correct procedure?","The front desk must call Room Service, inform them of the request, and note the name of the staff member who took the information."
"After logging a manual wake-up call request, where must the details be updated electronically?",The details must be updated on the PMS (property management software) by accessing the specific guest's reservation record.
"To begin the process of performing wake-up calls, staff should print the 'Wake-up call Report' sorted by _____ from the PMS.",time
The first automated wake-up call is typically performed by the _____ system.,EPBX
"Who is responsible for performing the second, or 'reminder', wake-up call?",The Front desk staff or the telephone operator.
What should a staff member do if a guest does not answer the second reminder wake-up call?,They should try calling again after a 5-minute interval.
Under what three circumstances should the security department be informed regarding a wake-up call?,"If the guest doesn't respond to the reminder call, the guest's telephone is out of order, or the line is continuously engaged or busy."
"If a guest is unresponsive to phone calls for a wake-up, who must go to the guest's room?",A front desk staff member must go along with a member of the Security department.
How should an escalated wake-up call be delivered at the guest's room?,The staff members should knock on the guest room door to give the wake-up call.
Where must all incidents related to wake-up call difficulties be recorded?,All such incidents should be recorded in detail in the hotel log book or incident book.
Who has the final responsibility of checking the daily wake-up call report and ensuring it is filed?,The duty manager is responsible for checking the report and filing it daily.
